"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022624","GO:0022624","proteasome accessory complex","13/1560","38/29171",4.28920817339489e-08,6.25664931379994e-07,3.60214965591745e-07,"P51665/P62333/O00231/P48556/P43686/P62191/O00487/Q9UL46/P17980/P62195/P35998/O00232/Q99460",13
"GO:0005687","GO:0005687","U4 snRNP","9/1560","17/29171",5.75064980878299e-08,8.2099702589221e-07,4.72673791673764e-07,"P62304/P62316/P62318/P62306/P62314/Q13838/P14678/P63162/Q8WWY3",9
"GO:0005747","GO:0005747","mitochondrial respiratory chain complex I","17/1560","69/29171",9.22461288022329e-08,1.23794304852597e-06,7.12722721482515e-07,"O75489/P49821/O96000/P28331/O00483/O43920/Q16718/Q16795/O95168/P19404/O95182/P56556/Q9UI09/O95299/O75306/O75251/O00217",17
"GO:0030964","GO:0030964","NADH dehydrogenase complex","17/1560","69/29171",9.22461288022329e-08,1.23794304852597e-06,7.12722721482515e-07,"O75489/P49821/O96000/P28331/O00483/O43920/Q16718/Q16795/O95168/P19404/O95182/P56556/Q9UI09/O95299/O75306/O75251/O00217",17
"GO:0045271","GO:0045271","respiratory chain complex I","17/1560","69/29171",9.22461288022329e-08,1.23794304852597e-06,7.12722721482515e-07,"O75489/P49821/O96000/P28331/O00483/O43920/Q16718/Q16795/O95168/P19404/O95182/P56556/Q9UI09/O95299/O75306/O75251/O00217",17
"GO:0030137","GO:0030137","COPI-coated vesicle","12/1560","34/29171",9.5746302526421e-08,1.25972096069075e-06,7.25260949993736e-07,"Q9Y678/P49755/O14579/P53618/P61923/P84077/Q15363/P53621/P48444/Q96KG9/Q9UBF2/P35606",12
"GO:0005686","GO:0005686","U2 snRNP","11/1560","29/29171",1.39746500222861e-07,1.80326733941423e-06,1.0381976838419e-06,"P62304/P62316/P62318/P62314/P09661/Q7RTV0/Q9Y3B4/P14678/P63162/Q15459/Q13435",11
"GO:0044448","GO:0044448","cell cortex part","35/1560","249/29171",1.76799695462673e-07,2.23835086142365e-06,1.28868894210131e-06,"P08727/P68104/P21333/Q01082/Q15019/O43707/Q13813/P15311/P61160/Q16181/Q9UHD8/Q05682/Q12797/P35241/P23528/Q15691/P47755/P35609/P67936/Q14247/P35579/P61026/P06396/P06753/Q14141/O75955/Q01518/Q14254/P19022/O15020/Q9UPT5/P11277/Q96KP1/P18206/P46939",35
"GO:0097526","GO:0097526","spliceosomal tri-snRNP complex","12/1560","36/29171",1.97792535969455e-07,2.45775540065748e-06,1.41500703120448e-06,"P62304/P62316/P62318/P62314/O95777/Q9Y333/O43172/P14678/P63162/O43290/Q8WWY3/O94906",12
"GO:0030663","GO:0030663","COPI-coated vesicle membrane","10/1560","25/29171",2.9008666918695e-07,3.53905736408079e-06,2.03754655677724e-06,"Q9Y678/O14579/P53618/P61923/Q15363/P53621/P48444/Q96KG9/Q9UBF2/P35606",10
"GO:0030863","GO:0030863","cortical cytoskeleton","27/1560","170/29171",3.839488031577e-07,4.55842696421277e-06,2.6244296742742e-06,"P08727/P68104/P21333/Q01082/O43707/Q13813/P15311/P61160/Q05682/P35241/P23528/Q15691/P47755/P35609/P67936/Q14247/P35579/P06396/P06753/O75955/Q01518/Q14254/P19022/O15020/P11277/P18206/P46939",27
"GO:0005689","GO:0005689","U12-type spliceosomal complex","12/1560","38/29171",3.87228520059803e-07,4.55842696421277e-06,2.6244296742742e-06,"P62304/P67809/P62316/P62318/P62306/P62314/Q15427/Q7RTV0/Q9Y3B4/P14678/Q96IZ5/Q13435",12
"GO:0072562","GO:0072562","blood microparticle","30/1560","202/29171",3.97328422974786e-07,4.5966788244152e-06,2.64645247244549e-06,"P60709/P63261/P68032/P68133/P63267/P26038/P11142/P08758/P02786/P07737/P63104/P0DMV8/P0DMV9/P17066/P54652/O00299/O00560/P02751/P02042/P68871/P02100/P69892/P34931/Q6S8J3/A5A3E0/P04264/P06396/P62195/Q08380/P02768",30
"GO:0005791","GO:0005791","rough endoplasmic reticulum","22/1560","121/29171",4.2542390838866e-07,4.8382956360812e-06,2.78555886491772e-06,"P10809/O00469/P27824/Q02809/P51571/P04843/O60568/Q9Y5M8/P61106/Q02818/P49458/Q96A33/P04844/Q13217/Q8TCT9/Q99442/P61619/P49768/P30533/O95793/P08240/P05067",22
"GO:0016469","GO:0016469","proton-transporting two-sector ATPase complex","17/1560","77/29171",5.05193038879053e-07,5.64974215146408e-06,3.25273412751952e-06,"P48047/O75947/P06576/P25705/O75964/P30049/P56134/P56378/P61421/P36542/P56385/P30405/P24539/P21281/Q15904/P15313/P38606",17
"GO:0030126","GO:0030126","COPI vesicle coat","9/1560","21/29171",5.71973379391356e-07,6.29170717330492e-06,3.62233356750005e-06,"Q9Y678/O14579/P53618/P61923/P53621/P48444/Q96KG9/Q9UBF2/P35606",9
"GO:0005685","GO:0005685","U1 snRNP","11/1560","33/29171",6.41136012182297e-07,6.93874619636002e-06,3.99485426945506e-06,"P62304/P62316/P62318/P08621/P62306/P62314/P09012/P14678/P63162/Q9Y383/O75400",11
"GO:0046540","GO:0046540","U4/U6 x U5 tri-snRNP complex","10/1560","27/29171",6.78516352996452e-07,7.22673766445427e-06,4.16066000918459e-06,"P62304/P62316/O95777/Q9Y333/O43172/P14678/P63162/O43290/Q8WWY3/O94906",10
"GO:0005643","GO:0005643","nuclear pore","21/1560","116/29171",8.32614704766698e-07,8.72944479528835e-06,5.02581573436477e-06,"P63241/P55735/O00629/P52292/Q14764/O00505/Q6IS14/Q9GZV4/Q14974/P46060/P62826/O15131/O60684/P52294/P57740/O00410/P12270/Q8N1F7/O75694/P49790/P52948",21
"GO:0043292","GO:0043292","contractile fiber","49/1560","437/29171",8.94932039867708e-07,9.2384522884805e-06,5.31886734625828e-06,"P05787/P08727/P63261/P04075/P68032/P68133/P62736/Q15149/P12814/O14950/Q01082/O43707/P08758/O75369/Q13813/P06733/P24844/Q05682/Q9NVD7/P04792/Q9Y281/P14649/Q09666/P49257/P07951/Q14315/P35609/P67936/P09493/P17661/P84077/O75190/P35222/O75880/Q96HC4/P49810/Q9HBI1/P06753/P35659/Q9NYL9/O14974/Q13418/Q8WX93/Q0ZGT2/P14923/O14983/P18206/P35749/Q03001",49
"GO:0005832","GO:0005832","chaperonin-containing T-complex","9/1560","22/29171",9.21898973402656e-07,9.372639562927e-06,5.39612317765191e-06,"P78371/P40227/Q99832/P50990/P49368/P50991/P17987/P48643/Q92526",9
"GO:0031597","GO:0031597","cytosolic proteasome complex","8/1560","17/29171",1.0347433936381e-06,1.03628778676293e-05,5.96623449277585e-06,"P62333/P43686/P62191/O00487/P17980/P62195/P35998/Q99460",8
"GO:0030117","GO:0030117","membrane coat","25/1560","162/29171",1.75954737676448e-06,1.71109607218691e-05,9.85131788363942e-06,"Q9Y678/Q13492/O14579/P53618/Q10567/Q00610/P61923/P63010/O95782/O94979/O94855/P09496/O94973/P53621/P48444/Q15436/Q96KG9/P53992/O95486/Q9UBF2/P35606/O00203/P00533/P11717/P53675",25
"GO:0048475","GO:0048475","coated membrane","25/1560","162/29171",1.75954737676448e-06,1.71109607218691e-05,9.85131788363942e-06,"Q9Y678/Q13492/O14579/P53618/Q10567/Q00610/P61923/P63010/O95782/O94979/O94855/P09496/O94973/P53621/P48444/Q15436/Q96KG9/P53992/O95486/Q9UBF2/P35606/O00203/P00533/P11717/P53675",25
"GO:0030134","GO:0030134","ER to Golgi transport vesicle","23/1560","143/29171",2.18449668652197e-06,2.09399610950892e-05,1.20557937436626e-05,"O75396/P13987/P61769/P49755/P10321/P55735/P30460/P01889/P49257/P04439/P30443/O94979/O94855/O14653/Q15363/Q9Y6B6/Q15436/Q9H0V9/P53992/Q08379/P05067/O95486/Q5VYK3",23
"GO:0000313","GO:0000313","organellar ribosome","19/1560","104/29171",2.37572426388033e-06,2.21404302925514e-05,1.27469415912877e-05,"Q8IXM3/Q9Y2R5/P51398/O95182/Q16540/P52815/Q9NQ50/Q96GC5/Q7Z7H8/Q9NRX2/Q9Y3B7/Q13405/Q9Y2Q9/Q13084/P49406/Q9NYK5/P82650/Q92665/P82933",19
"GO:0005761","GO:0005761","mitochondrial ribosome","19/1560","104/29171",2.37572426388033e-06,2.21404302925514e-05,1.27469415912877e-05,"Q8IXM3/Q9Y2R5/P51398/O95182/Q16540/P52815/Q9NQ50/Q96GC5/Q7Z7H8/Q9NRX2/Q9Y3B7/Q13405/Q9Y2Q9/Q13084/P49406/Q9NYK5/P82650/Q92665/P82933",19
"GO:0005811","GO:0005811","lipid particle","20/1560","114/29171",2.5088224899792e-06,2.30605464489869e-05,1.32766813817212e-05,"P07355/P04406/P61224/P51149/Q07065/P51148/P55072/Q03135/Q96CS3/Q9H4M9/Q12931/P00387/Q15738/Q8NF37/O60664/Q9UMS4/O60488/O95573/P48449/Q92538",20
"GO:0034399","GO:0034399","nuclear periphery","32/1560","244/29171",2.71218637361455e-06,2.4592933198586e-05,1.41589245962524e-05,"P05787/P02545/Q99623/Q9Y265/P23246/P20700/Q13838/Q15233/P23528/Q03252/P43243/Q9Y281/P52272/Q7RTV0/Q8WXF1/Q92973/Q14974/Q9Y230/P09486/P57740/O00410/O75475/O75400/O14787/P12270/Q14980/Q8IYB3/P29590/Q9UPN6/Q8N1F7/P49790/P52948",32
"GO:0005765","GO:0005765","lysosomal membrane","52/1560","494/29171",2.79163944087206e-06,2.46472376950678e-05,1.41901894016627e-05,"P07355/P68104/P61019/P51149/P51148/P11142/P62873/O15400/Q05639/P62879/Q9UHA4/P61421/P62987/P08754/P61106/Q01628/P15144/P63096/Q10567/Q00610/Q9Y2Q5/Q09666/P63010/O95782/Q96QK1/Q9HAV0/Q6IAA8/Q8WWB7/P20645/P46459/P09496/P13473/O94973/P11279/P08133/Q14108/P08962/P21281/P12109/P42892/P07602/Q92542/Q9BTU6/P49768/P22413/Q9UIQ6/O75955/P04062/P38606/Q07954/O00203/P11717",52
"GO:0098852","GO:0098852","lytic vacuole membrane","52/1560","494/29171",2.79163944087206e-06,2.46472376950678e-05,1.41901894016627e-05,"P07355/P68104/P61019/P51149/P51148/P11142/P62873/O15400/Q05639/P62879/Q9UHA4/P61421/P62987/P08754/P61106/Q01628/P15144/P63096/Q10567/Q00610/Q9Y2Q5/Q09666/P63010/O95782/Q96QK1/Q9HAV0/Q6IAA8/Q8WWB7/P20645/P46459/P09496/P13473/O94973/P11279/P08133/Q14108/P08962/P21281/P12109/P42892/P07602/Q92542/Q9BTU6/P49768/P22413/Q9UIQ6/O75955/P04062/P38606/Q07954/O00203/P11717",52
"GO:0034663","GO:0034663","endoplasmic reticulum chaperone complex","8/1560","19/29171",2.92162477556307e-06,2.54598730441925e-05,1.46580491132146e-05,"P23284/P11021/P14625/P07237/Q15084/Q9Y4L1/Q9UBS4/Q8IXB1",8
"GO:0044449","GO:0044449","contractile fiber part","45/1560","407/29171",3.57449933099597e-06,3.07498596294654e-05,1.77036606541906e-05,"P05787/P08727/P04075/P68032/P68133/P62736/Q15149/P12814/O14950/Q01082/O43707/P08758/O75369/Q13813/P06733/P24844/Q9NVD7/P04792/Q9Y281/P14649/Q09666/P49257/P07951/Q14315/P35609/P67936/P09493/P17661/P84077/O75190/P35222/Q96HC4/P49810/Q9HBI1/P06753/Q9NYL9/O14974/Q13418/Q8WX93/Q0ZGT2/P14923/O14983/P18206/P35749/Q03001",45
"GO:0005916","GO:0005916","fascia adherens","9/1560","26/29171",4.76623966458254e-06,4.04828710751251e-05,2.33072612511898e-05,"P12814/Q13813/P17661/P35222/P19022/P14923/Q9UI47/P18206/Q9Y4G6",9
"GO:0032432","GO:0032432","actin filament bundle","20/1560","119/29171",4.96404558604799e-06,4.16359323529775e-05,2.39711148694686e-05,"P68133/P21333/P12814/O14950/O43707/O75369/Q9NVA2/P24844/Q16181/Q9UHD8/Q99439/Q9UHB6/Q9NR12/P67936/P09493/Q6ZTI6/P35579/P06753/Q13418/Q7Z406",20
"GO:0030016","GO:0030016","myofibril","45/1560","419/29171",7.62965367001975e-06,6.32036742294229e-05,3.63883417400552e-05,"P05787/P08727/P63261/P04075/P68032/P68133/Q15149/P12814/O14950/Q01082/O43707/P08758/O75369/Q13813/P06733/P24844/Q05682/Q9NVD7/P04792/Q9Y281/Q09666/P49257/P07951/Q14315/P35609/P67936/P09493/P17661/P84077/O75190/P35222/O75880/Q96HC4/P49810/Q9HBI1/P06753/Q9NYL9/O14974/Q13418/Q8WX93/Q0ZGT2/P14923/O14983/P18206/Q03001",45
"GO:0045335","GO:0045335","phagocytic vesicle","24/1560","165/29171",8.00975455555936e-06,6.55432354485406e-05,3.77353006661141e-05,"Q15907/P51149/P62491/P61769/Q86Y82/P61421/P10321/P61106/P30460/P01889/P04439/P30443/P15153/P13473/P11279/P20339/Q13636/Q9UL26/P18084/P06756/P61006/P61026/Q14964/O75044",24
"GO:0042382","GO:0042382","paraspeckles","6/1560","11/29171",8.48041766000474e-06,6.85585572272672e-05,3.94713161854374e-05,"O43809/P23246/Q15233/P52272/Q8WXF1/Q16630",6
"GO:0031595","GO:0031595","nuclear proteasome complex","7/1560","16/29171",9.20828009027191e-06,7.35566183401482e-05,4.23488570567643e-05,"P62333/P43686/P62191/P17980/P62195/P35998/O00232",7
"GO:0005938","GO:0005938","cell cortex","50/1560","493/29171",1.19789711041057e-05,9.39236471628857e-05,5.40747956840208e-05,"P08727/P07355/P68104/P21333/P61978/Q01082/Q15019/O43707/O75369/Q13813/P15311/P61586/P61160/P07737/Q16181/Q16643/P19338/Q9UHD8/Q05682/Q12797/P35241/P23528/Q03135/Q15691/P47755/P35609/P67936/P35222/Q14247/P35579/A5A3E0/P61026/P49810/P06396/P06753/Q14141/O75955/Q01518/Q14254/Q15642/Q9P0K7/P19022/O15020/Q9UPT5/Q14980/P11277/Q96KP1/P18206/P46939/Q03001",50
"GO:0042641","GO:0042641","actomyosin","20/1560","126/29171",1.20379041073147e-05,9.39236471628857e-05,5.40747956840208e-05,"P68032/P68133/P12814/O14950/O43707/O75369/Q9NVA2/P24844/Q16181/Q16643/Q9UHD8/Q99439/Q9UHB6/Q9NR12/P67936/P09493/P35579/P06753/Q13418/Q7Z406",20
"GO:0012507","GO:0012507","ER to Golgi transport vesicle membrane","19/1560","116/29171",1.24476797831587e-05,9.60045187873503e-05,5.52728188798456e-05,"O75396/P13987/P61769/P49755/P10321/P55735/P30460/P01889/P49257/P04439/P30443/O94979/O94855/O14653/Q15363/Q9Y6B6/Q15436/P53992/O95486",19
"GO:0008540","GO:0008540","proteasome regulatory particle, base subcomplex","7/1560","17/29171",1.49297557779156e-05,0.000113839387806606,6.55409135226676e-05,"P62333/P43686/P62191/P17980/P62195/P35998/Q99460",7
"GO:0001726","GO:0001726","ruffle","36/1560","315/29171",1.58846355116361e-05,0.000118040112267265,6.79594026230864e-05,"P07355/P68104/P12814/P23396/P05556/P15311/P06703/P35241/P23528/P31949/P08648/P07900/Q9Y490/Q9NR12/P63000/P15531/P50570/P09493/P22392/P18085/Q9UNF0/P20339/Q9UL26/P21281/Q14247/P35579/P06756/Q9Y6W5/P06396/P63092/Q9Y5X1/P46940/Q5JWF2/Q8WX93/Q9UPN3/Q9Y4G6",36
"GO:0005750","GO:0005750","mitochondrial respiratory chain complex III","6/1560","12/29171",1.61900297663413e-05,0.000118040112267265,6.79594026230864e-05,"P31930/Q9UDW1/P22695/O75439/P14927/P47985",6
"GO:0045275","GO:0045275","respiratory chain complex III","6/1560","12/29171",1.61900297663413e-05,0.000118040112267265,6.79594026230864e-05,"P31930/Q9UDW1/P22695/O75439/P14927/P47985",6
"GO:0001725","GO:0001725","stress fiber","18/1560","108/29171",1.63602540102171e-05,0.000118040112267265,6.79594026230864e-05,"P68133/P12814/O14950/O43707/O75369/Q9NVA2/P24844/Q16181/Q9UHD8/Q99439/Q9UHB6/Q9NR12/P67936/P09493/P35579/P06753/Q13418/Q7Z406",18
"GO:0097517","GO:0097517","contractile actin filament bundle","18/1560","108/29171",1.63602540102171e-05,0.000118040112267265,6.79594026230864e-05,"P68133/P12814/O14950/O43707/O75369/Q9NVA2/P24844/Q16181/Q9UHD8/Q99439/Q9UHB6/Q9NR12/P67936/P09493/P35579/P06753/Q13418/Q7Z406",18
"GO:0071011","GO:0071011","precatalytic spliceosome","10/1560","37/29171",1.71522395259721e-05,0.00012243779491412,7.04912867416772e-05,"P62304/P62316/P62318/P08621/P62314/Q9Y333/Q7RTV0/Q9Y3B4/Q8WWY3/Q13435",10
"GO:0030660","GO:0030660","Golgi-associated vesicle membrane","15/1560","80/29171",1.93974677732595e-05,0.000137007377640601,7.88794534380745e-05,"Q9Y678/O14579/P53618/Q00610/P61923/O95782/P09496/Q15363/P53621/P48444/Q96KG9/Q8N6T3/Q9UBF2/P35606/P53675",15
"GO:0030666","GO:0030666","endocytic vesicle membrane","35/1560","307/29171",2.18054598833137e-05,0.000152411078976078,8.7747848433949e-05,"Q15907/P51149/P61769/Q13492/P61421/P62987/P10321/P30460/P62979/Q03135/Q10567/Q00610/P01889/P63010/P04439/Q13557/O95782/P30443/P15153/P0CG47/P13473/O94973/P50570/P11279/Q13636/Q9UL26/Q13555/P61006/P61026/Q14964/Q13554/Q9UQM7/P0CG48/Q07954/P00533",35
"GO:0005684","GO:0005684","U2-type spliceosomal complex","12/1560","54/29171",2.21456216831612e-05,0.000153076347398459,8.81308643740442e-05,"P62318/P08621/P62314/P26368/Q9Y3B4/P14678/P63162/Q9Y383/Q15459/Q8WWY3/O75400/Q13435",12
"GO:0002199","GO:0002199","zona pellucida receptor complex","8/1560","24/29171",2.23569031967943e-05,0.000153076347398459,8.81308643740442e-05,"P78371/Q99832/P50990/P49368/P50991/P17987/P48643/P34931",8
"GO:0031968","GO:0031968","organelle outer membrane","38/1560","350/29171",2.97243249265058e-05,0.000201464868946317,0.000115989657076317,"P21796/Q99623/Q99536/Q9Y6C9/O00571/P42704/O96008/Q9Y3D6/P50402/P55084/P19367/P45880/O94826/O75431/Q15388/Q15785/P00387/O43169/P00167/Q8N5K1/P04156/P15531/Q9BVC6/O00429/Q9GZY8/Q6NUM9/P49768/Q7Z434/Q53H12/Q00005/Q8IXI1/P09543/O60313/O60488/O95573/Q6SZW1/P52789/Q02846",38
"GO:0044291","GO:0044291","cell-cell contact zone","20/1560","135/29171",3.38428380738796e-05,0.000227085443475732,0.000130740227085408,"P12814/P05556/P08758/Q13813/P35221/Q09666/Q13557/P61225/P17661/P08133/P35222/P16615/O75955/Q07157/Q14254/P19022/P14923/Q9UI47/P18206/Q9Y4G6",20
"GO:0030140","GO:0030140","trans-Golgi network transport vesicle","11/1560","48/29171",3.56883379704626e-05,0.000237097770080994,0.000136504638198643,"P49755/P61106/Q9BVK6/Q00610/O00194/O95782/P09496/O43493/P61006/P11717/P53675",11
"GO:0005682","GO:0005682","U5 snRNP","8/1560","26/29171",4.31479071633505e-05,0.000283845546143217,0.000163418802156343,"P62304/P62316/P62318/P62314/P14678/P63162/O75643/O94906",8
"GO:0030864","GO:0030864","cortical actin cytoskeleton","19/1560","127/29171",4.591355722083e-05,0.000299106765972592,0.000172205166070972,"P08727/P68104/Q01082/Q13813/P61160/Q05682/P35241/P23528/P35609/P35579/P06396/O75955/Q01518/Q14254/P19022/O15020/P11277/P18206/P46939",19
"GO:0030017","GO:0030017","sarcomere","39/1560","372/29171",5.11660384470162e-05,0.000330119344211037,0.000190060082085576,"P05787/P08727/P04075/P68032/P68133/P12814/O14950/Q01082/O43707/P08758/O75369/Q13813/P06733/P24844/Q9NVD7/P04792/Q9Y281/P49257/P07951/Q14315/P35609/P67936/P09493/P17661/P84077/O75190/P35222/Q96HC4/P49810/Q9HBI1/P06753/Q9NYL9/O14974/Q13418/Q8WX93/Q0ZGT2/P14923/O14983/Q03001",39
"GO:0005719","GO:0005719","nuclear euchromatin","10/1560","42/29171",5.67446419908991e-05,0.000362625283579936,0.000208774773039198,"P0C0S5/P16402/P16403/Q02539/Q6NXT2/P38159/Q13185/Q13263/Q9Y230/P35222",10
"GO:0019867","GO:0019867","outer membrane","38/1560","361/29171",5.82030474232493e-05,0.000368436271896229,0.000212120341651763,"P21796/Q99623/Q99536/Q9Y6C9/O00571/P42704/O96008/Q9Y3D6/P50402/P55084/P19367/P45880/O94826/O75431/Q15388/Q15785/P00387/O43169/P00167/Q8N5K1/P04156/P15531/Q9BVC6/O00429/Q9GZY8/Q6NUM9/P49768/Q7Z434/Q53H12/Q00005/Q8IXI1/P09543/O60313/O60488/O95573/Q6SZW1/P52789/Q02846",38
"GO:0000502","GO:0000502","proteasome complex","19/1560","131/29171",7.07180257309793e-05,0.000443474722107356,0.000255322335890501,"P55072/P51665/P04792/P62333/O00231/P48556/Q16186/P43686/P62191/O00487/Q9UL46/Q9UBV2/P17980/P62195/P35998/P54578/O00232/Q99460/Q5VYK3",19
"GO:0030670","GO:0030670","phagocytic vesicle membrane","17/1560","110/29171",7.48403853160761e-05,0.000464980542102658,0.000267703912387914,"Q15907/P51149/P61769/P61421/P10321/P30460/P01889/P04439/P30443/P15153/P13473/P11279/Q13636/Q9UL26/P61006/P61026/Q14964",17
"GO:0033178","GO:0033178","proton-transporting two-sector ATPase complex, catalytic domain","8/1560","28/29171",7.80032636638321e-05,0.000480185228609462,0.000276457728291901,"P06576/P25705/P30049/P36542/P21281/Q15904/P15313/P38606",8
"GO:0030027","GO:0030027","lamellipodium","37/1560","353/29171",7.90476670605111e-05,0.000482190769069118,0.000277612380968494,"P61158/P68032/P68133/P62736/P63267/O15145/P05556/P61586/P35221/Q9H299/P35241/P23528/Q9NZI8/O60716/Q9ULV4/P15153/P60763/P63000/Q8IZP0/P50570/P22392/P26232/P35222/Q14247/P06756/P50552/Q9Y6W5/P06396/Q9HBI1/Q13418/O75955/Q14254/Q8WX93/P19022/P05067/Q9UI47/O75044",37
"GO:0000784","GO:0000784","nuclear chromosome, telomeric region","24/1560","192/29171",9.88726942070237e-05,0.000597689890206422,0.000344108855134924,"P62805/Q96QV6/P36873/P62136/P68431/P84243/P33778/P62140/O75367/Q9UH99/Q86V81/Q00577/Q13185/Q96A08/P45973/P09874/P27695/P12956/P13010/P39748/P05455/Q6P1J9/Q96QC0/P29590",24
"GO:0031970","GO:0031970","organelle envelope lumen","21/1560","158/29171",0.000109947627909135,0.000658704092205622,0.000379236648897111,"P07437/Q9UJZ1/P34897/P14854/P28331/P99999/P54819/Q9Y5L4/O43920/Q12931/Q9H4A6/O14925/Q9Y3B8/P36551/O95831/Q8TCS8/P50336/P04040/O60313/P05067/P11717",21
"GO:0070069","GO:0070069","cytochrome complex","8/1560","30/29171",0.000133494865768445,0.000792699601155987,0.000456382074867436,"P31930/Q9UDW1/P22695/O75439/O00483/P14927/P13073/P47985",8
"GO:0000276","GO:0000276","mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","5/1560","11/29171",0.000153054236965968,0.000900871868457582,0.000518660248998247,"O75947/O75964/P56134/P56385/P24539",5
"GO:0014704","GO:0014704","intercalated disc","16/1560","106/29171",0.000159982410388363,0.000933462585831233,0.00053742374931377,"P12814/P05556/P08758/Q13813/P35221/Q13557/P17661/P08133/P35222/P16615/Q07157/P19022/P14923/Q9UI47/P18206/Q9Y4G6",16
"GO:0016234","GO:0016234","inclusion body","19/1560","140/29171",0.000173812632124357,0.00100541617375382,0.000578849691376035,"Q15907/P13639/Q13492/P08238/P0DMV8/P0DMV9/Q13501/P43686/Q86U42/Q99442/P49768/Q9UL15/P62195/P12270/P12036/Q9H0D6/P07197/P49790/P52948",19
"GO:0005777","GO:0005777","peroxisome","26/1560","224/29171",0.000176954203237078,0.0010062395794244,0.000579323751900158,"P08670/P30044/Q9Y3D6/Q9NY65/Q9Y2Q3/O75521/Q03135/O00116/P22307/P35914/Q9UBQ7/Q15067/P09110/P48735/P84077/P51659/O00429/Q9GZY8/Q13011/Q7Z434/Q6YN16/P04040/O60488/O95573/A5YKK6/Q92538",26
"GO:0042579","GO:0042579","microbody","26/1560","224/29171",0.000176954203237078,0.0010062395794244,0.000579323751900158,"P08670/P30044/Q9Y3D6/Q9NY65/Q9Y2Q3/O75521/Q03135/O00116/P22307/P35914/Q9UBQ7/Q15067/P09110/P48735/P84077/P51659/O00429/Q9GZY8/Q13011/Q7Z434/Q6YN16/P04040/O60488/O95573/A5YKK6/Q92538",26
"GO:0031965","GO:0031965","nuclear membrane","46/1560","497/29171",0.000228998502624738,0.00129124365765713,0.000743409557393001,"P02545/P04406/P67809/P42704/O14656/Q86UE4/P20700/P50402/P42167/Q9BTV4/Q5JTV8/Q03252/P43243/Q9Y3D9/Q9UH99/O95168/O00299/Q13185/Q92973/Q14974/Q9BVC6/P46060/P42166/P49810/Q6NUM9/O14657/P49406/P49768/Q8NFQ8/P57740/O00410/Q16352/Q8TB72/Q9BZE4/O14787/P12270/P29590/Q93084/O14980/Q8N1F7/Q02846/O75694/P49790/P00533/P52948/Q8TDY2",46
"GO:0005833","GO:0005833","hemoglobin complex","6/1560","18/29171",0.000246319208566304,0.00137733490789992,0.000792974995998541,"P00387/P02042/P68871/P02100/P69891/P69892",6
"GO:0070937","GO:0070937","CRD-mediated mRNA stability complex","5/1560","12/29171",0.000250814384965701,0.00137947911731136,0.000794209484749028,"P67809/O60506/Q9NZI8/Q00839/Q08211",5
"GO:0072357","GO:0072357","PTW/PP1 phosphatase complex","5/1560","12/29171",0.000250814384965701,0.00137947911731136,0.000794209484749028,"P36873/P62136/P62140/O14974/Q96QC0",5
"GO:0034709","GO:0034709","methylosome","7/1560","25/29171",0.00025297808226732,0.0013800674244014,0.000794548191631208,"P62304/P62316/P62318/P62306/P62314/P84090/P14678",7
"GO:0071010","GO:0071010","prespliceosome","9/1560","42/29171",0.000313536925213058,0.00169663932917711,0.000976808587038985,"P62318/P08621/P62314/P26368/P14678/P63162/Q9Y383/Q15459/O75400",9
"GO:0032154","GO:0032154","cleavage furrow","14/1560","91/29171",0.000329301644476987,0.0017536619320957,0.00100963829175484,"P62491/Q15019/P05556/P36873/P08134/P61586/Q16181/Q9UL25/P35241/Q9UHB6/P62745/P35579/P06753/Q14141",14
"GO:0097610","GO:0097610","cell surface furrow","14/1560","91/29171",0.000329301644476987,0.0017536619320957,0.00100963829175484,"P62491/Q15019/P05556/P36873/P08134/P61586/Q16181/Q9UL25/P35241/Q9UHB6/P62745/P35579/P06753/Q14141",14
"GO:0030867","GO:0030867","rough endoplasmic reticulum membrane","8/1560","34/29171",0.000342175373708708,0.00180787146266569,0.00104084842230498,"O00469/Q02809/P51571/O60568/Q9Y5M8/P49458/Q13217/P08240",8
"GO:0005758","GO:0005758","mitochondrial intermembrane space","18/1560","136/29171",0.000348241920071381,0.00182554944037419,0.00105102618968912,"Q9UJZ1/P34897/P14854/P28331/P99999/P54819/Q9Y5L4/O43920/Q12931/Q9H4A6/O14925/Q9Y3B8/P36551/O95831/Q8TCS8/P50336/P04040/O60313",18
"GO:0005741","GO:0005741","mitochondrial outer membrane","32/1560","313/29171",0.000362265542125928,0.00187991288446914,0.00108232493309307,"P21796/Q99623/Q99536/Q9Y6C9/O00571/O96008/Q9Y3D6/P55084/P19367/P45880/O94826/O75431/Q15388/Q15785/P00387/O43169/P00167/Q8N5K1/P04156/P15531/O00429/Q9GZY8/Q7Z434/Q53H12/Q00005/Q8IXI1/P09543/O60313/O60488/O95573/Q6SZW1/P52789",32
"GO:0005913","GO:0005913","cell-cell adherens junction","17/1560","125/29171",0.000364215610999982,0.00187991288446914,0.00108232493309307,"P12814/Q13813/P35221/O60716/P41217/P17661/P26232/P35222/P35579/O75955/Q07157/Q14254/P19022/P14923/Q9UI47/P18206/Q9Y4G6",17
