"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005681","GO:0005681","spliceosomal complex","66/1560","307/29171",1.51302047177344e-22,9.22942487781798e-21,5.31366998220912e-21,"P22626/P62304/P09651/P17844/P31943/Q32P51/P61978/P11142/P67809/P11940/P51991/P55769/P62316/P62318/P07910/O60506/P08621/P62306/P62314/O43390/P26368/Q13838/P52597/P0DN76/Q01081/Q9UKM9/P52272/O95777/Q12874/Q9Y333/P09661/Q00839/Q07955/Q15427/Q86V81/Q7RTV0/Q9Y3B4/P38159/O00148/P31942/P17931/Q01130/Q9UMS4/O14979/P09012/Q8WXA9/O43172/P14678/P63162/Q15029/P49756/Q9BZZ5/Q8N163/Q9Y383/Q15459/O43290/P38919/Q8WWY3/Q96IZ5/P55265/O75400/Q8IYB3/Q13435/Q9UPN6/O75643/O94906",66
"GO:0015934","GO:0015934","large ribosomal subunit","44/1560","141/29171",2.86796511636098e-22,1.60367049423185e-20,9.23283506758314e-21,"P05387/P05388/P35268/P83731/P30050/P61254/P05386/P62888/Q9UNX3/P62829/P98179/P26373/P62899/Q02543/Q8IXM3/P18621/P46776/P62910/P62750/P62913/P62987/P62917/Q02878/P42766/P46777/P47914/P49207/P50914/P83881/Q969Q0/Q9BYD6/P62424/P46778/P84098/Q16540/P46779/P52815/Q7Z7H8/Q9NRX2/Q9Y3B7/P62906/Q13405/Q13084/P49406",44
"GO:0015935","GO:0015935","small ribosomal subunit","37/1560","98/29171",3.2498664924528e-22,1.67743108956602e-20,9.65749799781519e-21,"P63244/P62269/P62854/P25398/P08865/P62241/P62701/P62753/P23396/P62244/P39019/P60866/P62851/P62857/O00571/P46782/P62263/P62841/P62847/P63220/P62249/P46783/P61247/P15880/P62081/P62277/P62979/P22090/Q8TD47/Q9Y2R5/P51398/P62266/P62280/Q9Y2Q9/P82650/Q92665/P82933",37
"GO:0032993","GO:0032993","protein-DNA complex","55/1560","227/29171",1.36081865522089e-21,6.52220941180868e-20,3.75504095087267e-20,"P62805/Q16777/Q9BTM1/P04908/P0C0S8/P20671/Q6FI13/Q7L7L0/Q8IUE6/Q93077/Q96KK5/Q96QV6/P0C0S5/Q71UI9/P16104/P52926/P61978/P10412/P16402/P16403/P68431/P84243/Q16695/Q71DI3/O60814/P06899/P23527/P33778/P58876/P62807/Q16778/Q5QNW6/Q8N257/Q93079/Q99877/Q99879/Q99880/P16401/P22492/O75367/Q02539/Q6NXT2/P35244/Q00577/Q96QR8/Q5SSJ5/Q96A08/Q9UMS4/P35222/P12956/P13010/Q13422/P14923/Q92794/Q8WYB5",55
"GO:0098798","GO:0098798","mitochondrial protein complex","53/1560","215/29171",3.15967752720253e-21,1.41342908050193e-19,8.13755545602336e-20,"P48047/O75947/P06576/P40939/P25705/O75489/P49821/Q5XKP0/P31930/O96008/O75964/O96000/P28331/P30049/P56134/P56378/Q9UDW1/Q3ZCQ8/P36542/Q16891/P56385/P22695/P12236/O75439/O00483/Q9NX63/Q9Y5L4/O94826/O43920/Q15388/Q16718/Q16795/O95168/P14927/P30405/P24539/P19404/O95182/P56556/Q9UI09/Q9Y3D7/O14925/P21912/O95299/P13073/P31040/O75306/O75251/O00217/P10515/P47985/Q8TCS8/P11182",53
"GO:0005882","GO:0005882","intermediate filament","58/1560","256/29171",3.75708368464257e-21,1.57562697024698e-19,9.07137968594621e-20,"P08670/P05787/P08727/P05783/P02545/P20700/Q03252/P13646/P19012/Q04695/P15531/P08729/O95678/P02533/P08779/P17661/P02538/P04259/P41219/P48668/Q9NSB2/P12035/P13647/Q7Z794/Q5XKE5/P04264/P48681/Q01546/P48729/Q8N1A0/O76014/O76015/Q7Z3Y7/P13645/Q14525/Q15323/Q14532/P78385/Q14533/O76013/P35900/Q92764/P14136/Q2M2I5/O43790/Q86Y46/Q3SY84/Q7RTS7/P78386/Q14CN4/Q16352/Q8N1N4/P07196/P35908/P14923/P12036/P07197/Q03001",58
"GO:0098800","GO:0098800","inner mitochondrial membrane protein complex","45/1560","164/29171",3.14130837833809e-20,1.23989289521462e-18,7.13845309504693e-19,"P48047/O75947/P06576/P25705/O75489/P49821/Q5XKP0/P31930/O75964/O96000/P28331/P30049/P56134/P56378/Q9UDW1/Q3ZCQ8/P36542/Q16891/P56385/P22695/P12236/O75439/O00483/Q9NX63/O43920/Q16718/Q16795/O95168/P14927/P30405/P24539/P19404/O95182/P56556/Q9UI09/Q9Y3D7/O14925/P21912/O95299/P13073/P31040/O75306/O75251/O00217/P47985",45
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit","33/1560","94/29171",7.93324442323646e-19,2.95733722666203e-17,1.70263199025016e-17,"P05387/P05388/P35268/P83731/P30050/P61254/P05386/P62888/Q9UNX3/P62829/P26373/P62899/Q02543/P18621/P46776/P62910/P62750/P62913/P62987/P62917/Q02878/P42766/P46777/P47914/P49207/P50914/P83881/Q969Q0/P62424/P46778/P84098/P46779/P62906",33
"GO:0045111","GO:0045111","intermediate filament cytoskeleton","63/1560","345/29171",8.64458462706328e-18,3.05290330776814e-16,1.75765238677685e-16,"P08670/P05787/P08727/P05783/P02545/Q15149/P20700/P50990/Q03252/Q9Y3D9/P13646/P19012/Q04695/P15531/P08729/O95678/P02533/P08779/P17661/P02538/P04259/P41219/P48668/Q9NSB2/P12035/P13647/Q7Z794/Q5XKE5/P04264/Q99442/P48681/Q01546/P48729/Q8N1A0/O75616/O76014/O76015/Q7Z3Y7/P13645/Q14525/Q15323/Q14532/P78385/Q14533/O76013/P35900/Q92764/P14136/Q2M2I5/O43790/Q86Y46/Q3SY84/Q7RTS7/P78386/Q14CN4/Q16352/Q8N1N4/P07196/P35908/P14923/P12036/P07197/Q03001",63
"GO:0044455","GO:0044455","mitochondrial membrane part","57/1560","290/29171",9.73010113342962e-18,3.26444893026564e-16,1.87944585050983e-16,"P10809/P48047/O75947/P06576/P25705/O75489/P49821/Q5XKP0/P31930/O96008/O75964/O96000/P28331/P30049/P56134/P56378/Q9UDW1/Q9Y3D6/Q3ZCQ8/P36542/Q16891/P14406/P56385/P22695/P12236/O75439/O00483/Q9NX63/O94826/O43920/P07919/Q15388/Q16718/Q16795/O95168/P14927/P30405/P24539/P19404/O95182/P56556/Q9UI09/Q9Y3D7/O14925/P21912/O95299/P13073/P31040/O75306/O75251/O00217/P47985/Q9GZY8/P50336/Q8IXI1/O60313/Q6SZW1",57
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","62/1560","345/29171",3.53308838190895e-17,1.12890585917186e-15,6.49946584541646e-16,"P23284/P50454/P30101/P11021/P13674/O15460/P14625/P07237/P27824/P27797/P14314/P30040/Q96D15/O14656/Q15084/P61769/Q8TED1/Q8NBS9/Q14697/Q9BS26/P13667/Q32P28/Q15293/Q12797/Q9BTV4/P02452/Q9Y4L1/P12111/Q969H8/Q9UBS4/Q96AY3/O43852/Q14257/Q96HE7/Q8IXB1/Q03405/Q9NYU2/Q13217/P02461/P08123/O75718/Q8IVL6/Q9BT09/P12109/Q8NBJ7/Q9Y680/Q8NBJ5/O14657/O95479/P07996/P30533/Q8NBL1/Q96DZ1/Q14554/Q5TAT6/Q9BZQ6/P02462/P02458/P08572/P20908/P12107/Q92538",62
"GO:0071013","GO:0071013","catalytic step 2 spliceosome","40/1560","155/29171",4.10107029085397e-17,1.25082643871046e-15,7.20140094135602e-16,"P22626/P62304/P09651/P17844/P31943/P61978/P11940/P51991/P62316/P62318/P07910/O60506/P62306/P62314/O43390/P52597/P0DN76/Q01081/Q9UKM9/P52272/Q12874/Q9Y333/P09661/Q00839/Q07955/Q86V81/Q7RTV0/Q9Y3B4/P38159/Q9UMS4/P14678/P63162/Q15029/Q15459/O43290/P38919/Q8IYB3/Q13435/O75643/O94906",40
"GO:0000788","GO:0000788","nuclear nucleosome","18/1560","34/29171",1.12965701426795e-14,3.29565155032084e-13,1.89741017957133e-13,"Q7L7L0/P68431/P84243/Q16695/O60814/P06899/P23527/P33778/P58876/P62807/Q16778/Q5QNW6/Q8N257/Q93079/Q99877/Q99879/Q99880/Q96A08",18
"GO:1990204","GO:1990204","oxidoreductase complex","37/1560","165/29171",7.45490086033751e-14,2.0842660322027e-12,1.19997746304556e-12,"P13674/O15460/P11177/P07237/O75489/P49821/P31930/O96000/P28331/Q9UDW1/P22695/P08559/P36957/O75439/O00483/O43920/Q16718/Q16795/O95168/P14927/P19404/O95182/P56556/Q9UI09/Q02218/P21912/O95299/P31040/O75306/O75251/P09622/O00217/P10515/P47985/P43304/P11182/Q9ULD0",37
"GO:0035770","GO:0035770","ribonucleoprotein granule","47/1560","266/29171",4.4309175480061e-13,1.18925826988484e-11,6.84693364260311e-12,"P07437/P60709/P05388/Q71U36/P62701/P62753/O00571/P67809/P60953/P11940/P51991/Q13283/Q92499/Q02878/O15523/P19338/Q92945/Q9NZI8/Q14011/Q13310/P06730/Q9Y333/Q00839/Q9BWF3/Q13501/P63000/Q01085/P46779/P11387/Q14444/Q9NR56/Q12849/Q08211/P31483/Q92600/P17980/P26196/P35998/P46940/O95793/Q16352/Q8TB72/Q14671/Q8WWM7/Q9NQI0/Q6P2E9/A5YKK6",47
"GO:0036464","GO:0036464","cytoplasmic ribonucleoprotein granule","45/1560","251/29171",8.19527160037531e-13,2.11501047840455e-11,1.21767800701933e-11,"P07437/P60709/P05388/Q71U36/P62701/P62753/O00571/P67809/P60953/P11940/Q13283/Q92499/Q02878/O15523/P19338/Q92945/Q9NZI8/Q14011/Q13310/P06730/Q9Y333/Q00839/Q9BWF3/Q13501/P63000/Q01085/P46779/P11387/Q14444/Q9NR56/Q08211/P31483/Q92600/P17980/P26196/P35998/P46940/O95793/Q16352/Q8TB72/Q14671/Q8WWM7/Q9NQI0/Q6P2E9/A5YKK6",45
"GO:0045095","GO:0045095","keratin filament","28/1560","107/29171",1.43554506819099e-12,3.5675953361339e-11,2.05397676423428e-11,"P05787/P05783/P13646/P08729/O95678/P02533/P02538/P04259/P48668/Q9NSB2/P12035/P13647/Q7Z794/Q5XKE5/P04264/Q01546/P48729/P13645/P78385/Q14533/O43790/Q86Y46/Q3SY84/Q7RTS7/P78386/Q14CN4/Q8N1N4/P35908",28
"GO:0005793","GO:0005793","endoplasmic reticulum-Golgi intermediate compartment","36/1560","183/29171",9.78164399432458e-12,2.33815755618209e-10,1.34615079318978e-10,"P50454/P61019/P11021/Q12907/P07237/O75396/P13987/Q15084/Q9H0U4/P49755/Q969X5/Q9BS26/Q9BVK6/P15144/P09429/Q9NRW1/Q02818/P53618/Q969H8/P49257/Q99653/Q96EK6/P02751/Q9NYU2/O14653/O15260/Q15363/P53990/Q9Y282/Q96KG9/P80303/Q08379/O14983/Q14789/Q92538/Q5VYK3",36
"GO:0030135","GO:0030135","coated vesicle","60/1560","429/29171",1.01053009134546e-11,2.33815755618209e-10,1.34615079318978e-10,"P10809/P11142/O75396/P13987/Q9Y678/P61769/Q13492/P49755/P10321/P55735/P61106/P63027/Q15836/Q9BVK6/P30460/O14579/P53618/Q10567/Q00610/O00194/P01889/P61923/P63010/P49257/P04439/O95782/P30443/O94979/O94855/O14653/P09496/O94973/P50570/P84077/Q15363/Q9Y6B6/P53621/P51159/O43493/P48444/P42892/P61006/Q15436/Q96KG9/Q9H0V9/O60641/P53992/Q14677/Q08379/Q9Y5X1/Q07954/P05067/O95486/Q9UBF2/P35606/O00203/P00533/P11717/P53675/Q5VYK3",60
"GO:0097525","GO:0097525","spliceosomal snRNP complex","24/1560","86/29171",1.26322805757822e-11,2.82542008878329e-10,1.6266831478288e-10,"P62304/P62316/P62318/P08621/P62306/P62314/Q13838/O95777/Q9Y333/P09661/Q7RTV0/Q9Y3B4/P09012/O43172/P14678/P63162/Q9Y383/Q15459/O43290/Q8WWY3/O75400/Q13435/O75643/O94906",24
"GO:0070469","GO:0070469","respiratory chain","30/1560","134/29171",1.74290751039828e-11,3.77255141766855e-10,2.17197642212622e-10,"O75489/P49821/P31930/O96000/P28331/P99999/Q9UDW1/P14406/P22695/O75439/O00483/O43920/P07919/Q16718/Q16795/O95168/P14927/P19404/P08574/O95182/P56556/Q9UI09/P21912/O95299/P13073/P31040/O75306/O75251/O00217/P47985",30
"GO:0098803","GO:0098803","respiratory chain complex","26/1560","103/29171",2.18007752626742e-11,4.571350062892e-10,2.63186990835574e-10,"O75489/P49821/P31930/O96000/P28331/Q9UDW1/P22695/O75439/O00483/O43920/Q16718/Q16795/O95168/P14927/P19404/O95182/P56556/Q9UI09/P21912/O95299/P13073/P31040/O75306/O75251/O00217/P47985",26
"GO:0010494","GO:0010494","cytoplasmic stress granule","20/1560","62/29171",3.44785545077038e-11,6.99192194731901e-10,4.02546922059154e-10,"O00571/P67809/P11940/Q13283/Q92499/Q92945/Q9NZI8/Q14011/Q13310/P06730/Q9BWF3/Q01085/Q14444/Q9NR56/P31483/P26196/O95793/Q8TB72/Q14671/Q8WWM7",20
"GO:0005746","GO:0005746","mitochondrial respiratory chain","28/1560","121/29171",3.54285165735986e-11,6.99192194731901e-10,4.02546922059154e-10,"O75489/P49821/P31930/O96000/P28331/Q9UDW1/P14406/P22695/O75439/O00483/O43920/P07919/Q16718/Q16795/O95168/P14927/P19404/O95182/P56556/Q9UI09/P21912/O95299/P13073/P31040/O75306/O75251/O00217/P47985",28
"GO:0009295","GO:0009295","nucleoid","23/1560","87/29171",1.12397212061058e-10,2.09495914702695e-09,1.20613382533358e-09,"Q99714/P06576/P40939/P21796/P38646/Q96AG4/P34897/P49411/P42704/P49748/Q04837/P55084/P45880/P05141/Q9NVI7/Q9Y2S7/P36776/Q12849/P29372/Q00059/Q96EY1/P11182/Q7L0Y3",23
