protein id	EMPAI
sp|A6NIZ1|RP1BL_HUMAN	0.0015538874
sp|O15145|ARPC3_HUMAN	0.0015538874
sp|P02795|MT2_HUMAN	0.0015538874
sp|P04181|OAT_HUMAN	0.0015538874
sp|P04732|MT1E_HUMAN	0.0015538874
sp|P04899|GNAI2_HUMAN	0.0015538874
sp|P10412|H14_HUMAN	0.0015538874
sp|P11142|HSP7C_HUMAN	0.0015538874
sp|P13639|EF2_HUMAN	0.0015538874
sp|P13640|MT1G_HUMAN	0.0015538874
sp|P14625|ENPL_HUMAN	0.0015538874
sp|P39019|RS19_HUMAN	0.0015538874
sp|P60866|RS20_HUMAN	0.0015538874
sp|P62491|RB11A_HUMAN	0.0015538874
sp|P62851|RS25_HUMAN	0.0015538874
sp|P62857|RS28_HUMAN	0.0015538874
sp|P62861|RS30_HUMAN	0.0015538874
sp|P80297|MT1X_HUMAN	0.0015538874
sp|Q01082|SPTB2_HUMAN	0.0015538874
sp|Q12907|LMAN2_HUMAN	0.0015538874
sp|Q14103|HNRPD_HUMAN	0.0015538874
sp|Q15019|SEPT2_HUMAN	0.0015538874
sp|Q96AG4|LRC59_HUMAN	0.0015538874
sp|Q9UNX3|RL26L_HUMAN	0.0015538874
sp|Q9Y224|CN166_HUMAN	0.0015538874
sp|P05556|ITB1_HUMAN	0.0014987739
sp|P07237|PDIA1_HUMAN	0.0014987739
sp|P27824|CALX_HUMAN	0.0014829703
sp|O43707|ACTN4_HUMAN	0.0014498126
sp|Q99536|VAT1_HUMAN	0.0014390767
sp|O43809|CPSF5_HUMAN	0.0014180613
sp|P55072|TERA_HUMAN	0.0014180613
sp|P62873|GBB1_HUMAN	0.0014180613
sp|Q02809|PLOD1_HUMAN	0.0014180613
sp|Q9Y6C9|MTCH2_HUMAN	0.0014180613
sp|O00571|DDX3X_HUMAN	0.0013991841
sp|P08758|ANXA5_HUMAN	0.0013876315
sp|P16402|H13_HUMAN	0.0013876315
sp|P16403|H12_HUMAN	0.0013876315
sp|P27797|CALR_HUMAN	0.0013876315
sp|P67809|YBOX1_HUMAN	0.0013876315
sp|P00367|DHE3_HUMAN	0.0013742149
sp|O75489|NDUS3_HUMAN	0.001339639
sp|P30084|ECHM_HUMAN	0.001339639
sp|P36873|PP1G_HUMAN	0.001339639
sp|P46782|RS5_HUMAN	0.001339639
sp|P51571|SSRD_HUMAN	0.001339639
sp|P60953|CDC42_HUMAN	0.001339639
sp|P62136|PP1A_HUMAN	0.001339639
sp|P62829|RL23_HUMAN	0.001339639
sp|P98179|RBM3_HUMAN	0.001339639
sp|Q8NHW5|RLA0L_HUMAN	0.001339639
sp|Q9UJZ1|STML2_HUMAN	0.001339639
sp|P49821|NDUV1_HUMAN	0.0013168327
sp|P34897|GLYM_HUMAN	0.0013035081
sp|Q9BSJ8|ESYT1_HUMAN	0.0012973278
sp|P04843|RPN1_HUMAN	0.0012947695
sp|Q9Y265|RUVB1_HUMAN	0.0012885971
sp|O75369|FLNB_HUMAN	0.0012692251
sp|O15400|STX7_HUMAN	0.001252734
sp|O75396|SC22B_HUMAN	0.001252734
sp|O75531|BAF_HUMAN	0.001252734
sp|P13987|CD59_HUMAN	0.001252734
sp|P14854|CX6B1_HUMAN	0.001252734
sp|P21291|CSRP1_HUMAN	0.001252734
sp|P21589|5NTD_HUMAN	0.001252734
sp|P26373|RL13_HUMAN	0.001252734
sp|P62263|RS14_HUMAN	0.001252734
sp|P62841|RS15_HUMAN	0.001252734
sp|P62847|RS24_HUMAN	0.001252734
sp|P62899|RL31_HUMAN	0.001252734
sp|P63220|RS21_HUMAN	0.001252734
sp|P68431|H31_HUMAN	0.001252734
sp|P84243|H33_HUMAN	0.001252734
sp|Q02543|RL18A_HUMAN	0.001252734
sp|Q04941|PLP2_HUMAN	0.001252734
sp|Q06830|PRDX1_HUMAN	0.001252734
sp|Q16695|H31T_HUMAN	0.001252734
sp|Q56UQ5|TPT1L_HUMAN	0.001252734
sp|Q5XKP0|MIC13_HUMAN	0.001252734
sp|Q71DI3|H32_HUMAN	0.001252734
sp|Q8IXM3|RM41_HUMAN	0.001252734
sp|P49411|EFTU_HUMAN	0.0012261572
sp|P31930|QCR1_HUMAN	0.0012187645
sp|P68366|TBA4A_HUMAN	0.0012187645
sp|Q05639|EF1A2_HUMAN	0.0012187645
sp|Q9NVA2|SEP11_HUMAN	0.0012187645
sp|Q9UQ80|PA2G4_HUMAN	0.0012187645
sp|Q13813|SPTN1_HUMAN	0.0012125557
sp|P78371|TCPB_HUMAN	0.0012056745
sp|O60568|PLOD3_HUMAN	0.0011987388
sp|P06733|ENOA_HUMAN	0.0011944434
sp|P11940|PABP1_HUMAN	0.0011894057
sp|P42704|LPPRC_HUMAN	0.0011865457
sp|O00264|PGRC1_HUMAN	0.0011761722
sp|O60814|H2B1K_HUMAN	0.0011761722
sp|P06899|H2B1J_HUMAN	0.0011761722
sp|P08134|RHOC_HUMAN	0.0011761722
sp|P14314|GLU2B_HUMAN	0.0011761722
sp|P18621|RL17_HUMAN	0.0011761722
sp|P23527|H2B1O_HUMAN	0.0011761722
sp|P24844|MYL9_HUMAN	0.0011761722
sp|P33778|H2B1B_HUMAN	0.0011761722
sp|P49748|ACADV_HUMAN	0.0011761722
sp|P57053|H2BFS_HUMAN	0.0011761722
sp|P58876|H2B1D_HUMAN	0.0011761722
sp|P62807|H2B1C_HUMAN	0.0011761722
sp|Q04837|SSBP_HUMAN	0.0011761722
sp|Q16778|H2B2E_HUMAN	0.0011761722
sp|Q5QNW6|H2B2F_HUMAN	0.0011761722
sp|Q8N257|H2B3B_HUMAN	0.0011761722
sp|Q93079|H2B1H_HUMAN	0.0011761722
sp|Q99877|H2B1N_HUMAN	0.0011761722
sp|Q99879|H2B1M_HUMAN	0.0011761722
sp|Q99880|H2B1L_HUMAN	0.0011761722
sp|O96008|TOM40_HUMAN	0.0011412194
sp|P21964|COMT_HUMAN	0.0011412194
sp|P30040|ERP29_HUMAN	0.0011412194
sp|Q07021|C1QBP_HUMAN	0.0011412194
sp|Q7KZF4|SND1_HUMAN	0.0011412194
sp|Q96D15|RCN3_HUMAN	0.0011412194
sp|P00750|TPA_HUMAN	0.0011300151
sp|Q9Y678|COPG1_HUMAN	0.0011268533
sp|O14656|TOR1A_HUMAN	0.0011212053
sp|Q9Y394|DHRS7_HUMAN	0.0011212053
sp|Q9Y5M8|SRPRB_HUMAN	0.0011212053
sp|P01892|1A02_HUMAN	0.0011082394
sp|P05121|PAI1_HUMAN	0.0011082394
sp|P10316|1A69_HUMAN	0.0011082394
sp|Q15084|PDIA6_HUMAN	0.0010991563
sp|Q6DD88|ATLA3_HUMAN	0.0010924388
sp|P02786|TFR1_HUMAN	0.0010747465
sp|O75964|ATP5L_HUMAN	0.0010475764
sp|O96000|NDUBA_HUMAN	0.0010475764
sp|P04216|THY1_HUMAN	0.0010475764
sp|P09132|SRP19_HUMAN	0.0010475764
sp|P13164|IFM1_HUMAN	0.0010475764
sp|P14174|MIF_HUMAN	0.0010475764
sp|P15311|EZRI_HUMAN	0.0010475764
sp|P28331|NDUS1_HUMAN	0.0010475764
sp|P30041|PRDX6_HUMAN	0.0010475764
sp|P30049|ATPD_HUMAN	0.0010475764
sp|P37108|SRP14_HUMAN	0.0010475764
sp|P38117|ETFB_HUMAN	0.0010475764
sp|P46776|RL27A_HUMAN	0.0010475764
sp|P51991|ROA3_HUMAN	0.0010475764
sp|P52907|CAZA1_HUMAN	0.0010475764
sp|P56134|ATPK_HUMAN	0.0010475764
sp|P56378|68MP_HUMAN	0.0010475764
sp|P61009|SPCS3_HUMAN	0.0010475764
sp|P61769|B2MG_HUMAN	0.0010475764
sp|P62140|PP1B_HUMAN	0.0010475764
sp|P62249|RS16_HUMAN	0.0010475764
sp|P62879|GBB2_HUMAN	0.0010475764
sp|P62910|RL32_HUMAN	0.0010475764
sp|P63241|IF5A1_HUMAN	0.0010475764
sp|P99999|CYC_HUMAN	0.0010475764
sp|Q13283|G3BP1_HUMAN	0.0010475764
sp|Q13492|PICAL_HUMAN	0.0010475764
sp|Q5JNZ5|RS26L_HUMAN	0.0010475764
sp|Q86Y82|STX12_HUMAN	0.0010475764
sp|Q8N339|MT1M_HUMAN	0.0010475764
sp|Q8WUD1|RAB2B_HUMAN	0.0010475764
sp|Q9HDC9|APMAP_HUMAN	0.0010475764
sp|Q9UDW1|QCR9_HUMAN	0.0010475764
sp|Q9UHA4|LTOR3_HUMAN	0.0010475764
sp|Q9Y2B0|CNPY2_HUMAN	0.0010475764
sp|Q9Y3D6|FIS1_HUMAN	0.0010475764
sp|Q9Y5U9|IR3IP_HUMAN	0.0010475764
sp|P00338|LDHA_HUMAN	0.00099309161
sp|O94925|GLSK_HUMAN	0.0009828551
sp|P50213|IDH3A_HUMAN	0.0009828551
sp|Q9BWM7|SFXN3_HUMAN	0.0009828551
sp|P20340|RAB6A_HUMAN	0.00096788263
sp|P23246|SFPQ_HUMAN	0.00096788263
sp|Q01995|TAGL_HUMAN	0.00096788263
sp|Q15165|PON2_HUMAN	0.00096788263
sp|Q15404|RSU1_HUMAN	0.00096788263
sp|Q15717|ELAV1_HUMAN	0.00096788263
sp|Q9H0U4|RAB1B_HUMAN	0.00096788263
sp|P14866|HNRPL_HUMAN	0.00095745921
sp|Q86UE4|LYRIC_HUMAN	0.00095745921
sp|P04179|SODM_HUMAN	0.00094389945
sp|P16401|H15_HUMAN	0.00094389945
sp|P46783|RS10_HUMAN	0.00094389945
sp|P49755|TMEDA_HUMAN	0.00094389945
sp|P59998|ARPC4_HUMAN	0.00094389945
sp|P61586|RHOA_HUMAN	0.00094389945
sp|Q56VL3|OCAD2_HUMAN	0.00094389945
sp|Q8TED1|GPX8_HUMAN	0.00094389945
sp|P49448|DHE4_HUMAN	0.00093234022
sp|P35221|CTNA1_HUMAN	0.00092971209
sp|P01891|1A68_HUMAN	0.00092553732
sp|P61160|ARP2_HUMAN	0.00092553732
sp|Q16698|DECR_HUMAN	0.00092553732
sp|P40227|TCPZ_HUMAN	0.00091788091
sp|O60762|DPM1_HUMAN	0.0008992739
sp|P06748|NPM_HUMAN	0.0008992739
sp|P07737|PROF1_HUMAN	0.0008992739
sp|P22492|H1T_HUMAN	0.0008992739
sp|P55769|NH2L1_HUMAN	0.0008992739
sp|P61421|VA0D1_HUMAN	0.0008992739
sp|P62316|SMD2_HUMAN	0.0008992739
sp|P62318|SMD3_HUMAN	0.0008992739
sp|P62750|RL23A_HUMAN	0.0008992739
sp|P62820|RAB1A_HUMAN	0.0008992739
sp|P62913|RL11_HUMAN	0.0008992739
sp|P62987|RL40_HUMAN	0.0008992739
sp|Q16181|SEPT7_HUMAN	0.0008992739
sp|Q16643|DREB_HUMAN	0.0008992739
sp|Q3ZCQ8|TIM50_HUMAN	0.0008992739
sp|Q8NBS9|TXND5_HUMAN	0.0008992739
sp|Q99832|TCPH_HUMAN	0.0008992739
sp|Q9HAV7|GRPE1_HUMAN	0.0008992739
sp|Q92841|DDX17_HUMAN	0.0008853068
sp|Q9P2E9|RRBP1_HUMAN	0.00087848201
sp|O15144|ARPC2_HUMAN	0.00087443664
sp|P07910|HNRPC_HUMAN	0.00087443664
sp|P13804|ETFA_HUMAN	0.00087443664
sp|O00422|SAP18_HUMAN	0.00085861509
sp|P26641|EF1G_HUMAN	0.00085861509
sp|P62917|RL8_HUMAN	0.00085861509
sp|Q92499|DDX1_HUMAN	0.00085091376
sp|O75367|H2AY_HUMAN	0.00083961338
sp|P08754|GNAI3_HUMAN	0.00083961338
sp|P10321|1C07_HUMAN	0.00083961338
sp|P36542|ATPG_HUMAN	0.00083961338
sp|P61247|RS3A_HUMAN	0.00083961338
sp|Q02878|RL6_HUMAN	0.00083961338
sp|Q13148|TADBP_HUMAN	0.00083961338
sp|Q9UDY4|DNJB4_HUMAN	0.00083961338
sp|Q16891|MIC60_HUMAN	0.00082467188
sp|Q9UHG3|PCYOX_HUMAN	0.00082142238
sp|P20700|LMNB1_HUMAN	0.00081261504
